No.,Nation,Region,Date qualified,WC apps,Titles (Last)
1,Qatar ,Asia,"Dec. 2, 2010",1 of 22,—
2,Germany,Europe,"Oct. 11, 2021",20 of 22,4 (2014)
3,Denmark,Europe,"Oct. 12, 2021",6 of 22,—
4,Brazil,S. America,"Nov. 11, 2021",22 of 22,5 (2002)
5,France,Europe,"Nov. 13, 2021",16 of 22,2 (2018)
6,Belgium,Europe,"Nov. 13, 2021",14 of 22,—
7,Croatia,Europe,"Nov. 14, 2021",6 of 22,—
8,Spain,Europe,"Nov. 14, 2021",16 of 22,1 (2010)
9,Serbia,Europe,"Nov. 14, 2021",4 of 22,—
10,England,Europe,"Nov. 15, 2021",16 of 22,1 (1966)
11,Switzerland,Europe,"Nov. 15, 2021",12 of 22,—
12,Netherlands,Europe,"Nov. 16, 2021",11 of 22,—
13,Argentina,S. America,"Nov. 16, 2021",18 of 22,2 (1986)
14,Iran,Asia,"Jan. 27, 2022",6 of 22,—
15,South Korea,Asia,"Feb. 1, 2022",11 of 22,—
16,Japan,Asia,"Mar. 24, 2022",7 of 22,—
17,Saudi Arabia,Asia,"Mar. 24, 2022",6 of 22,—
18,Ecuador,S. America,Mar. 24 2022,4 of 22,—
19,Uruguay,S. America,"Mar. 24, 2022",14 of 22,2 (1950)
20,Canada,N. America,"Mar. 27, 2022",2 of 22,—
21,Ghana,Africa,"Mar. 29, 2022",4 of 22,—
22,Senegal,Africa,"Mar. 29, 2022",3 of 22,—
23,Portugal,Europe,"Mar. 29, 2022",8 of 22,—
24,Poland,Europe,"Mar. 29, 2022",9 of 22,—
25,Tunisia,Africa,"Mar. 29, 2022",6 of 22,—
26,Morocco,Africa,"Mar. 29, 2022",6 of 22,—
27,Cameroon,Africa,"Mar. 29, 2022",8 of 22,—
28,USA,N. America,"Mar. 30, 2022",11 of 22,—
29,Mexico,N. America,"Mar. 30, 2022",17 of 22,—
30,Wales,Europe,"June 5, 2022",2 of 22,—
31,Australia,Asia,"June 13, 2022",6 of 22,—
32,Costa Rica,N. America,"June 14, 2022",6 of 22,—
